index,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy
100,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.0,0.05555555555555555,0.0
101,0.16,0.16,0.08,0.08,0.12,0.12,0.04,0.12,0.08
102,0.1,0.05,0.1,0.15,0.25,0.1,0.0,0.0,0.15
103,0.07142857142857142,0.0,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.0,0.0,0.07142857142857142
104,0.125,0.125,0.0,0.0,0.0,0.375,0.125,0.25,0.0
105,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0
106,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142
107,0.0,0.0,0.15,0.1,0.2,0.15,0.1,0.0,0.2
108,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142
109,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0
110,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0
111,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091
112,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.0,0.058823529411764705
113,0.09090909090909091,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
114,0.0,0.0,0.2,0.1,0.2,0.2,0.0,0.0,0.1
115,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
116,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0
117,0.2,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0
118,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
119,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.1
120,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.05263157894736842
122,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0
123,0.0,0.0,0.25,0.08333333333333333,0.25,0.16666666666666666,0.0,0.0,0.08333333333333333
124,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.25,0.0,0.0,0.08333333333333333
125,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
126,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
